"App","Source","Line","Handler","Exists"
"管理端","components/cardToolbox/immediatelyCard/new_card.wxml","21","moreClick","True"
"管理端","components/cardToolbox/immediatelyCard/new_card.wxml","22","moreClick","True"
"管理端","components/cardToolbox/immediatelyCard/new_card.wxml","35","cardLimitSubmit","True"
"管理端","components/cardToolbox/immediatelyCard/time.wxml","3","submit","True"
"管理端","components/cardToolbox/immediatelyCard/time.wxml","7","bindChange","True"
"管理端","components/cardToolbox/member-details.wxml","2","headleScrollClose","True"
"管理端","components/cardToolbox/member-details.wxml","10","headleDetele","True"
"管理端","components/cardToolbox/member-details.wxml","18","closeModal","True"
"管理端","components/cardToolbox/member-details.wxml","23","headleMark","True"
"管理端","components/cardToolbox/member-details.wxml","31","freeTell","True"
"管理端","components/cardToolbox/member-details.wxml","38","headleRemarks","True"
"管理端","components/cardToolbox/member-details.wxml","60","recycle","True"
"管理端","components/cardToolbox/member-details.wxml","64","headleNewCard","True"
"管理端","components/cardToolbox/member-details.wxml","72","toggleCard","True"
"管理端","components/cardToolbox/member-details.wxml","73","moreProject","True"
"管理端","components/cardToolbox/member-details.wxml","77","remarkCard","True"
"管理端","components/cardToolbox/member-details.wxml","84","headleReceive","True"
"管理端","components/cardToolbox/member-details.wxml","86","headleSet","True"
"管理端","components/cardToolbox/member-details.wxml","89","headleType","True"
"管理端","components/cardToolbox/member-details.wxml","112","headleNewCard","True"
"管理端","components/cardToolbox/member-details.wxml","113","recycle","True"
"管理端","components/cardToolbox/member-details.wxml","122","radioGroupSubmit","True"
"管理端","components/cardToolbox/member-details.wxml","123","remarksSubmit","True"
"管理端","components/cardToolbox/member-details.wxml","124","newCardSubmit","True"
"管理端","components/cardToolbox/member-details.wxml","125","updateDetails","True"
"管理端","components/cardToolbox/member-details.wxml","126","AdjustmentSubmit","True"
"管理端","components/cardToolbox/member-details.wxml","127","vailditySubmit","True"
"管理端","components/cardToolbox/member-details.wxml","128","leaveSubmit","True"
"管理端","components/cardToolbox/member-details.wxml","129","cardStoppingSubmit","True"
"管理端","components/cardToolbox/member-details.wxml","130","headleRenew","True"
"管理端","components/cardToolbox/member-details.wxml","136","headleStatus","True"
"管理端","components/cardToolbox/member-details.wxml","145","headleCancel","True"
"管理端","components/cardToolbox/member-details.wxml","146","headleBtn","True"
"管理端","components/cardToolbox/member-details.wxml","150","editRemarkCard","True"
"管理端","components/confirm-modal/confirm-modal.wxml","11","cancelbtn","True"
"管理端","components/confirm-modal/confirm-modal.wxml","12","confirmbtn","True"
"管理端","components/editor-textarea/index.wxml","1","onEditorReady","True"
"管理端","components/expiredAlert/expiredAlert.wxml","4","handleDoubleClick","True"
"管理端","components/expiredAlert/expiredAlert.wxml","15","renew","True"
"管理端","components/expiredAlert/expiredAlert.wxml","16","cancelbtn","True"
"管理端","components/ff-counts-card/ff-counts-card.wxml","26","moreClick","True"
"管理端","components/ff-date-card/ff-date-card.wxml","38","moreClick","True"
"管理端","components/ff-popup/ff-popup.wxml","1","headleClose","True"
"管理端","components/ff-popup/ff-popup.wxml","3","back","True"
"管理端","components/ff-textarea/ff-textarea.wxml","4","submit","True"
"管理端","components/ff-textarea/ff-textarea.wxml","7","onfocusTextArea","True"
"管理端","components/ff-textarea/ff-textarea.wxml","10","del","True"
"管理端","components/mumber-card/index.wxml","2","cardDetail","True"
"管理端","components/mumber-card/index.wxml","3","cardDetail","True"
"管理端","components/mumber-card/index.wxml","66","moreProject","True"
"管理端","components/mumber-card/index.wxml","89","moreProject","True"
"管理端","components/navigation/index.wxml","6","back","True"
"管理端","components/privacy/privacy.wxml","4","openPrivacyContract","True"
"管理端","components/privacy/privacy.wxml","6","exitMiniProgram","True"
"管理端","components/privacy/privacy.wxml","7","handleAgreePrivacyAuthorization","True"
"管理端","components/time-picker/time-picker.wxml","3","submit","True"
"管理端","components/time-picker/time-picker.wxml","7","bindChange","True"
"管理端","components/time-popup/time-popup.wxml","2","closeweek","False"
"管理端","components/time-popup/time-popup.wxml","4","saveTime","True"
"管理端","components/time-popup/time-popup.wxml","9","weekdata","True"
"管理端","components/time-popup/time-popup.wxml","15","checkboxChange","True"
"管理端","components/time-popup/time-popup.wxml","22","removeitem","True"
"管理端","components/time-popup/time-popup.wxml","26","e0","True"
"管理端","components/time-popup/time-popup.wxml","29","openMinute","True"
"管理端","components/time-popup/time-popup.wxml","54","confirmPicker","True"
"管理端","components/zero-loading/zero-loading.wxml","1","handleClick","True"
"管理端","pageChain/brand/index.wxml","6","chooseAvatar","True"
"管理端","pageChain/brand/index.wxml","7","chooseAvatar","True"
"管理端","pageChain/brand/index.wxml","12","chooseAvatar","True"
"管理端","pageChain/brand/index.wxml","15","chooseAvatar","True"
"管理端","pageChain/brand/index.wxml","21","saveLinkInfo","True"
"管理端","pageChain/card/card-subject/index.wxml","23","settingSubject","True"
"管理端","pageChain/card/card-subject/index.wxml","35","moreClick","True"
"管理端","pageChain/card/card-subject/index.wxml","36","moreClick","True"
"管理端","pageChain/card/card-subject/index.wxml","38","settingSubject","True"
"管理端","pageChain/card/card-subject/index.wxml","64","moreClick","True"
"管理端","pageChain/card/card-subject/index.wxml","65","moreClick","True"
"管理端","pageChain/card/card-subject/index.wxml","70","settingSubject","True"
"管理端","pageChain/card/components/create-mode.wxml","4","subbranchhome","True"
"管理端","pageChain/card/components/create-mode.wxml","6","creatcard","True"
"管理端","pageChain/card/home/home.wxml","9","changeTab","True"
"管理端","pageChain/card/home/home.wxml","13","delshow","True"
"管理端","pageChain/card/home/home.wxml","19","jumpToCardInfo","True"
"管理端","pageChain/card/home/home.wxml","35","moreClick","True"
"管理端","pageChain/card/home/home.wxml","38","moreClick","True"
"管理端","pageChain/card/home/home.wxml","63","creatcard","True"
"管理端","pageChain/card/home/home.wxml","72","saveWeekTime","False"
"管理端","pageChain/card/home/subbranch-home.wxml","17","showShopSite","True"
"管理端","pageChain/card/home/subbranch-home.wxml","35","subbranchConfire","True"
"管理端","pageChain/card/home/subbranch-home.wxml","78","universalClick","True"
"管理端","pageChain/card/setting-more-subject/index.wxml","23","setTeamList","False"
"管理端","pageChain/card/setting-more-subject/index.wxml","26","coachSelect","True"
"管理端","pageChain/card/setting-more-subject/index.wxml","33","save","True"
"管理端","pageChain/card/setting-single-subject/index.wxml","18","moreClick","False"
"管理端","pageChain/card/setting-single-subject/index.wxml","19","moreClick","False"
"管理端","pageChain/card/setting-single-subject/index.wxml","37","activeAll","True"
"管理端","pageChain/card/setting-single-subject/index.wxml","40","coachSelect","True"
"管理端","pageChain/card/setting-single-subject/index.wxml","47","save","True"
"管理端","pageChain/card/setting-single-subject/index.wxml","50","deductionDaysSubmit","True"
"管理端","pageChain/cardStatistics/components/businessdata-money-popup.wxml","4","submit","True"
"管理端","pageChain/cardStatistics/detailed-records.wxml","1","closeDrop","True"
"管理端","pageChain/cardStatistics/detailed-records.wxml","23","moreClick","False"
"管理端","pageChain/cardStatistics/detailed-records.wxml","24","moreClick","False"
"管理端","pageChain/cardStatistics/detailed-records.wxml","65","memberDetails","False"
"管理端","pageChain/cardStatistics/detailed-records.wxml","69","memberDetails","False"
"管理端","pageChain/cardStatistics/detailed-records.wxml","100","showDrop","True"
"管理端","pageChain/cardStatistics/detailed-records.wxml","108","updateMoneyPopup","True"
"管理端","pageChain/cardStatistics/detailed-records.wxml","112","remarkPopup","True"
"管理端","pageChain/cardStatistics/detailed-records.wxml","129","headleClose","True"
"管理端","pageChain/cardStatistics/detailed-records.wxml","130","changeDate","False"
"管理端","pageChain/cardStatistics/detailed-records.wxml","131","editremarkOrder","True"
"管理端","pageChain/cardStatistics/detailed-records.wxml","132","confirm","True"
"管理端","pageChain/cardStatistics/index.wxml","1","closeDrop","True"
"管理端","pageChain/cardStatistics/index.wxml","7","e0","True"
"管理端","pageChain/cardStatistics/index.wxml","46","changeTab","True"
"管理端","pageChain/cardStatistics/index.wxml","68","cardClick","True"
"管理端","pageChain/cardStatistics/index.wxml","106","memberDetails","False"
